date, value
2008/11/18,4579.4702
2008/11/19,4354.0898
2008/11/20,4220.2002
2008/11/21,4127.4102
2008/11/24,4554.3301
2008/11/25,4560.4199
2008/11/26,4560.5
2008/11/27,4665.27
2008/11/28,4669.4399
2008/12/1,4394.79
2008/12/2,4531.79
2008/12/3,4567.2402
2008/12/4,4564.23
2008/12/5,4381.4702
2008/12/8,4715.8799
2008/12/9,4779.1099
2008/12/10,4804.8799
2008/12/11,4767.2002
2008/12/12,4663.3701
2008/12/15,4654.8198
2008/12/16,4729.9102
2008/12/17,4708.3799
2008/12/18,4756.3999
2008/12/19,4696.7002
2008/12/22,4639.02
2008/12/23,4629.3799
2008/12/24,4629.3799
2008/12/26,4629.3799
2008/12/29,4704.8599
2008/12/30,4810.2002
2009/1/2,4973.0698
2009/1/5,4983.9902
2009/1/6,5026.3101
2009/1/7,4937.4702
2009/1/8,4879.9102
2009/1/9,4783.8901
2009/1/12,4719.6201
2009/1/13,4636.9399
2009/1/14,4422.3501
2009/1/15,4336.73
2009/1/16,4366.2798
2009/1/19,4316.1401
2009/1/20,4239.8501
2009/1/21,4261.1499
2009/1/22,4219.4199
2009/1/23,4178.9399
2009/1/26,4326.8701
2009/1/27,4323.4199
2009/1/28,4518.7202
2009/1/29,4428.1099
2009/1/30,4338.3501
2009/2/2,4271.04
2009/2/3,4374.96
2009/2/4,4492.79
2009/2/5,4510.4902
2009/2/6,4644.6299
2009/2/9,4666.8198
2009/2/10,4505.54
2009/2/11,4530.0898
2009/2/12,4407.5601
2009/2/13,4413.3901
2009/2/17,4216.6001
2009/2/18,4204.96
2009/2/19,4215.21
2009/2/20,4014.6599
2009/2/23,3936.45
2009/2/24,3895.75
2009/2/25,3846.21
2009/2/26,3942.6201
2009/2/27,3843.74
2009/3/2,3710.0701
2009/3/3,3690.72
2009/3/4,3890.9399
2009/3/5,3695.49
2009/3/6,3666.4099
2009/3/9,3692.03
2009/3/10,3886.98
2009/3/11,3914.1001
2009/3/12,3956.22
2009/3/13,3953.6001
2009/3/16,4044.54
2009/3/17,3987.77
2009/3/18,3996.3201
2009/3/19,4043.46
2009/3/20,4068.74
2009/3/23,4176.3701
2009/3/24,4187.3599
2009/3/25,4223.29
2009/3/26,4259.3701
2009/3/27,4203.5498
2009/3/30,3989.23
2009/3/31,4084.76
2009/4/1,4131.0698
2009/4/2,4381.9199
2009/4/3,4384.9902
2009/4/6,4349.8101
2009/4/7,4322.5
2009/4/8,4357.9199
2009/4/9,4491.1201
2009/4/13,4491.1201
2009/4/14,4557.0098
2009/4/15,4549.79
2009/4/16,4609.46
2009/4/17,4676.8398
2009/4/20,4486.2998
2009/4/21,4501.6299
2009/4/22,4594.4199
2009/4/23,4538.21
2009/4/24,4674.3198
2009/4/27,4694.0698
2009/4/28,4607.4199
2009/4/29,4704.5601
2009/4/30,4769.4502
2009/5/1,4769.4502
2009/5/4,4902.4502
2009/5/5,4853.0298
2009/5/6,4880.71
2009/5/7,4804.1001
2009/5/8,4913.8999
2009/5/11,4866.9102
2009/5/12,4854.1099
2009/5/13,4727.6099
2009/5/14,4738.4702
2009/5/15,4737.5
2009/5/18,4851.96
2009/5/19,4959.6201
2009/5/20,5038.9399
2009/5/21,4900.6699
2009/5/22,4918.75
2009/5/25,4918.4502
2009/5/26,4985.6001
2009/5/27,5000.77
2009/5/28,4932.8799
2009/5/29,4940.8198
2009/6/1,5142.5601
2009/6/2,5144.0601
2009/6/3,5054.5298
2009/6/4,5064.7998
2009/6/5,5077.0298
2009/6/8,5004.7202
2009/6/9,4997.8599
2009/6/10,5051.1802
2009/6/11,5107.2598
2009/6/12,5069.2402
2009/6/15,4889.9399
2009/6/16,4890.7202
2009/6/17,4799.98
2009/6/18,4837.48
2009/6/19,4839.46
2009/6/22,4693.3999
2009/6/23,4707.1499
2009/6/24,4836.0098
2009/6/25,4800.5601
2009/6/26,4776.4702
2009/6/29,4885.0898
2009/6/30,4808.6401
2009/7/1,4905.4399
2009/7/2,4718.4902
2009/7/3,4708.21
2009/7/6,4651.8198
2009/7/7,4598.1899
2009/7/8,4572.6499
2009/7/9,4630.0698
2009/7/10,4576.3101
2009/7/13,4722.3398
2009/7/14,4781.6899
2009/7/15,4928.4399
2009/7/16,4957.1899
2009/7/17,4978.3999
2009/7/20,5030.1499
2009/7/21,5093.9702
2009/7/22,5121.5601
2009/7/23,5247.2798
2009/7/24,5229.3599
2009/7/27,5251.5498
2009/7/28,5174.7402
2009/7/29,5270.3198
2009/7/30,5360.6602
2009/7/31,5332.1401
2009/8/3,5426.8501
2009/8/4,5417.02
2009/8/5,5353.0098
2009/8/6,5369.98
2009/8/7,5458.96
2009/8/10,5418.1201
2009/8/11,5285.8101
2009/8/12,5350.0898
2009/8/13,5401.1099
2009/8/14,5309.1099
2009/8/17,5201.6099
2009/8/18,5250.7402
2009/8/19,5231.98
2009/8/20,5311.0601
2009/8/21,5462.7402
2009/8/24,5519.75
2009/8/25,5557.0898
2009/8/26,5521.9702
2009/8/27,5470.3301
2009/8/28,5517.3501
2009/8/31,5458.04
2009/9/1,5327.29
2009/9/2,5319.8398
2009/9/3,5301.4199
2009/9/4,5384.4302
2009/9/7,5463.5098
2009/9/8,5481.73
2009/9/9,5574.2598
2009/9/10,5594.77
2009/9/11,5624.02
2009/9/14,5620.2402
2009/9/15,5628.98
2009/9/16,5700.2598
2009/9/17,5731.1401
2009/9/18,5703.8301
2009/9/21,5668.6499
2009/9/22,5709.3799
2009/9/23,5702.0498
2009/9/24,5605.21
2009/9/25,5581.4102
2009/9/28,5736.3101
2009/9/29,5713.52
2009/9/30,5675.1602
2009/10/1,5554.5498
2009/10/2,5467.8999
2009/10/5,5508.8501
2009/10/6,5657.6401
2009/10/7,5640.75
2009/10/8,5716.54
2009/10/9,5711.8799
2009/10/12,5783.23
2009/10/13,5714.3101
2009/10/14,5854.1401
2009/10/15,5830.77
2009/10/16,5743.3901
2009/10/19,5852.5601
2009/10/20,5811.77
2009/10/21,5833.4902
2009/10/22,5762.9302
2009/10/23,5740.25
2009/10/26,5642.1602
2009/10/27,5635.02
2009/10/28,5496.27
2009/10/29,5587.4502
2009/10/30,5414.96
2009/11/2,5430.8198
2009/11/3,5353.3501
2009/11/4,5444.23
2009/11/5,5480.9199
2009/11/6,5488.25
2009/11/9,5619.7202
2009/11/10,5613.2002
2009/11/11,5668.3501
2009/11/12,5663.96
2009/11/13,5686.8301
2009/11/16,5804.8198
2009/11/17,5778.4302
2009/11/18,5787.6099
2009/11/19,5702.1802
2009/11/20,5663.1499
2009/11/23,5801.48
2009/11/24,5769.3101
2009/11/25,5803.02
2009/11/26,5614.1699
2009/11/27,5685.6099
2009/11/30,5625.9502
2009/12/1,5776.6099
2009/12/2,5781.6802
2009/12/3,5770.3501
2009/12/4,5817.6499
2009/12/7,5784.75
2009/12/8,5688.5801
2009/12/9,5647.8398
2009/12/10,5709.02
2009/12/11,5756.29
2009/12/14,5802.2598
2009/12/15,5811.3398
2009/12/16,5903.4302
2009/12/17,5844.4399
2009/12/18,5831.21
2009/12/21,5930.5298
2009/12/22,5945.6899
2009/12/23,5957.4399
2009/12/28,6002.9199
2009/12/29,6011.5498
2009/12/30,5957.4302
2010/1/4,6048.2998
2010/1/5,6031.8599
2010/1/6,6034.3301
2010/1/7,6019.3599
2010/1/8,6037.6099
2010/1/11,6040.5
2010/1/12,5943
2010/1/13,5963.1401
2010/1/14,5988.8799
2010/1/15,5875.9702
2010/1/18,5918.5498
2010/1/19,5976.48
2010/1/20,5851.5298
2010/1/21,5746.9702
2010/1/22,5695.3198
2010/1/25,5631.3701
2010/1/26,5668.9302
2010/1/27,5643.2002
2010/1/28,5540.3301
2010/1/29,5608.79
2010/2/1,5654.48
2010/2/2,5709.6602
2010/2/3,5672.0898
2010/2/4,5533.2402
2010/2/5,5434.3398
2010/2/8,5484.8501
2010/2/9,5498.2598
2010/2/10,5536.3701
2010/2/11,5503.9302
2010/2/12,5500.3901
2010/2/15,5511.1001
2010/2/16,5592.1201
2010/2/17,5648.3398
2010/2/18,5680.4102
2010/2/19,5722.0498
2010/2/22,5688.4399
2010/2/23,5604.0698
2010/2/24,5615.5098
2010/2/25,5532.3301
2010/2/26,5598.46
2010/3/1,5713.5098
2010/3/2,5776.5601
2010/3/3,5817.8799
2010/3/4,5795.3198
2010/3/5,5877.3599
2010/3/8,5875.9102
2010/3/9,5885.8901
2010/3/10,5936.7202
2010/3/11,5928.6299
2010/3/12,5945.1099
2010/3/15,5903.5601
2010/3/16,5970.9902
2010/3/17,6024.2798
2010/3/18,6012.3101
2010/3/19,5982.4302
2010/3/22,5987.5
2010/3/23,6017.27
2010/3/24,6039
2010/3/25,6132.9502
2010/3/26,6120.0498
2010/3/29,6156.8501
2010/3/30,6142.4502
2010/3/31,6153.5498
2010/4/1,6235.5601
2010/4/5,6235.5601
2010/4/6,6252.21
2010/4/7,6222.4102
2010/4/8,6171.8301
2010/4/9,6249.7002
2010/4/12,6250.6899
2010/4/13,6230.8301
2010/4/14,6278.3999
2010/4/15,6291.4502
2010/4/16,6180.8999
2010/4/19,6162.4399
2010/4/20,6264.23
2010/4/21,6230.3799
2010/4/22,6168.7202
2010/4/23,6259.5298
2010/4/26,6332.1001
2010/4/27,6159.5098
2010/4/28,6084.3398
2010/4/29,6144.9102
2010/4/30,6135.7002
2010/5/3,6166.9199
2010/5/4,6006.8599
2010/5/5,5958.4502
2010/5/6,5908.2598
2010/5/7,5715.0898
2010/5/10,6017.9102
2010/5/11,6037.71
2010/5/12,6183.4902
2010/5/13,6251.9702
2010/5/14,6056.71
2010/5/17,6066.9199
2010/5/18,6155.9302
2010/5/19,5988.6699
2010/5/20,5867.8799
2010/5/21,5829.25
2010/5/24,5805.6802
2010/5/25,5670.04
2010/5/26,5758.02
2010/5/27,5937.1401
2010/5/28,5946.1802
2010/5/31,5964.3301
2010/6/1,5981.27
2010/6/2,5981.2002
2010/6/3,6054.6299
2010/6/4,5938.8799
2010/6/7,5904.9502
2010/6/8,5868.5498
2010/6/9,5984.75
2010/6/10,6056.5898
2010/6/11,6047.8301
2010/6/14,6125
2010/6/15,6175.0498
2010/6/16,6190.9102
2010/6/17,6223.54
2010/6/18,6216.98
2010/6/21,6292.9702
2010/6/22,6269.04
2010/6/23,6204.52
2010/6/24,6115.48
2010/6/25,6070.6001
2010/6/28,6157.2202
2010/6/29,5952.0298
2010/6/30,5965.52
2010/7/1,5857.4302
2010/7/2,5834.1499
2010/7/5,5816.2002
2010/7/6,5940.98
2010/7/7,5992.8599
2010/7/8,6035.6602
2010/7/9,6065.2402
2010/7/12,6077.1899
2010/7/13,6191.1299
2010/7/14,6209.7598
2010/7/15,6149.3599
2010/7/16,6040.27
2010/7/19,6009.1099
2010/7/20,5967.4902
2010/7/21,5990.3799
2010/7/22,6142.1499
2010/7/23,6166.3398
2010/7/26,6194.21
2010/7/27,6207.3101
2010/7/28,6178.9399
2010/7/29,6134.7002
2010/7/30,6147.9702
2010/8/2,6292.1299
2010/8/3,6307.9102
2010/8/4,6331.3301
2010/8/5,6333.5801
2010/8/6,6259.6299
2010/8/9,6351.6001
2010/8/10,6286.25
2010/8/11,6154.0698
2010/8/12,6135.1699
2010/8/13,6110.4102
2010/8/16,6110.5698
2010/8/17,6206.3999
2010/8/18,6186.3101
2010/8/19,6075.1299
2010/8/20,6005.1602
2010/8/23,6010.9102
2010/8/24,5935.4399
2010/8/25,5899.5
2010/8/26,5912.5801
2010/8/27,5951.1699
2010/8/30,5912.4102
2010/8/31,5925.2202
2010/9/1,6083.8999
2010/9/2,6083.8501
2010/9/3,6134.6201
2010/9/6,6155.04
2010/9/7,6117.8901
2010/9/8,6164.4399
2010/9/9,6221.52
2010/9/10,6214.77
2010/9/13,6261.6802
2010/9/14,6275.4102
2010/9/15,6261.8701
2010/9/16,6249.6499
2010/9/17,6209.7598
2010/9/20,6294.5801
2010/9/21,6275.98
2010/9/22,6208.3301
2010/9/23,6184.71
2010/9/24,6298.2998
2010/9/27,6278.8901
2010/9/28,6276.0898
2010/9/29,6246.9199
2010/9/30,6229.02
2010/10/1,6211.3398
2010/10/4,6134.21
2010/10/5,6215.8301
2010/10/6,6270.73
2010/10/7,6276.25
2010/10/8,6291.6699
2010/10/11,6309.5098
2010/10/12,6304.5698
2010/10/13,6434.52
2010/10/14,6455.27
2010/10/15,6492.2998
2010/10/18,6516.6299
2010/10/19,6490.6899
2010/10/20,6524.5498
2010/10/21,6611.0098
2010/10/22,6605.8398
2010/10/25,6639.21
2010/10/26,6613.7998
2010/10/27,6568
2010/10/28,6595.2798
2010/10/29,6601.3701
2010/11/1,6604.8599
2010/11/2,6654.3101
2010/11/3,6617.7998
2010/11/4,6734.6899
2010/11/5,6754.2002
2010/11/8,6750.5
